Year,Power,Period
1982,87417.0,Historical
1983,82293.0,Historical
1984,104012.0,Historical
1985,174411.0,Historical
1986,190395.0,Historical
1987,198077.0,Historical
1988,170883.0,Historical
1989,132594.0,Historical
1990,163410.0,Historical
1991,117103.0,Historical
1992,71292.0,Historical
1993,107781.0,Historical
1994,113048.0,Historical
1995,167197.0,Historical
1996,167985.0,Historical
1997,121571.0,Historical
1998,195737.0,Historical
1999,249680.0,Historical
2000,175752.0,Historical
2001,145421.0,Historical
2002,170026.0,Historical
2003,160609.0,Historical
2004,173785.0,Historical
2005,114700.0,Historical
2006,138048.0,Historical
2006,138048.0,Training
2007,153016.0,Training
2008,75114.0,Training
2009,86996.0,Training
2010,98886.0,Training
2011,143284.0,Training
2012,92829.0,Training
2013,94084.0,Training
2014,90081.0,Training
2015,71356.0,Training
2016,73402.0,Training
2017,62131.0,Training
2018,91184.0,Training
2019,162972.0,Training
2020,195157.0,Training
2021,172753.0,Training
2022,17865.0,Training
2023,76675.79653416126,Future
2024,82192.15280430143,Future
2025,85154.8750478001,Future
2026,119464.15365532946,Future
2027,129764.42000530587,Future
2028,130583.52421078338,Future
2029,114048.7078052993,Future
2030,104934.47629401414,Future
2031,120432.62799117694,Future
2032,103584.01057157805,Future
2033,72134.28117554754,Future
2034,89307.32078722962,Future
2035,102021.25953504875,Future
2036,115896.87935166711,Future
2037,115476.18041866909,Future
2038,105626.64347655763,Future
2039,135592.01797296462,Future
2040,154384.8780609189,Future
2041,128555.33365161935,Future
2042,115555.11770787828,Future
2043,120492.0177918801,Future
2044,125158.94536830929,Future
2045,129522.85880161947,Future
2046,92613.52514032017,Future
2047,99177.54552149175,Future
2048,84521.62157157093,Future
2049,79399.3932129467,Future
2050,95601.70863111863,Future
2051,119521.1942931481,Future
2052,132050.72344297406,Future
2053,136270.89174876377,Future
2054,122301.26753311322,Future
2055,103084.39184143706,Future
2056,118881.69916591472,Future
2057,94650.54479070251,Future
2058,77923.27945139083,Future
2059,101816.07120158082,Future
2060,102521.0628882063,Future
2061,131820.55297373538,Future
2062,122132.92747996884,Future
2063,96454.88311582469,Future
2064,132328.26334024713,Future
2065,158522.59762188335,Future
2066,134319.52777041757,Future
2067,119258.00212893193,Future
2068,129439.6541982084,Future
2069,115975.09487514553,Future
2070,126472.14544209989,Future
2071,102962.87636019137,Future
2072,112792.02594512847,Future
2073,88730.16081261297,Future
2074,83887.73476596204,Future
2075,103067.48659844029,Future
2076,124283.34427957369,Future
2077,134492.2097849298,Future
2078,134619.48130171568,Future
2079,130002.3613886117,Future
2080,115684.4373259049,Future
2081,121755.03712876473,Future
2082,107438.3095673129,Future
2083,82961.25907205163,Future
2084,101210.89033433962,Future
2085,103126.92701887233,Future
2086,129469.2620844346,Future
2087,126644.06127802489,Future
2088,92027.82825473855,Future
2089,142673.06950120142,Future
2090,157616.36557447657,Future
2091,135451.165915186,Future
2092,121294.36271353877,Future
2093,136757.16946872103,Future
2094,123849.23900937753,Future
2095,130266.30688072322,Future
2096,98660.735430802,Future
2097,111158.46916913624,Future
2098,85868.76438392789,Future
2099,92953.32480973964,Future
2100,103062.77767920814,Future
